Reciepe Name,Ingredients
Desi Ghee Recipe ,  2 litres cow's milk
नटी रोज एक्ट्रावगैन्ज़ रेसिपी (Nutty Rose Extravaganza   Recipe)  ,"1/2 कप शहद,1/2 कप कच्चे बादाम, टुकड़ों में कटा हुआ,1/2 कप पिस्ते के दाने, टुकड़ों में कटा हुआ,1/2 कप सूरजमुखी के बीज,1/2 कप नारियल,1 टी स्पून इलाइची पाउडर,2 टी स्पून नमक, एक चुटकी केसर के रेशे,1 टी स्पून गुलाब जल"
नाजुक गोश्त सीख रेसिपी (Nazuk Gosht Ki Seekh   Recipe)  ,"220 gms लैंब लेग (बोनलेस),15 ग्राम किडनी फैट,20 ग्राम ब्राउन प्याज,10 ग्राम अदरक,10 ग्राम लहसुन, छिला हुआ,30 ग्राम प्याज,10 ग्राम ताजा हरा धनिया,5 ग्राम लाल मिर्च पाउडर,5 ग्राम गरम मसाला,5 ग्राम नमक,20 ग्राम घी"
ग्रेपफ्रूट पनीर सैलेड रेसिपी (Grapefruit paneer salad   Recipe)  ,"2  ग्रेपफ्रूट्स, छिला हुआ,1 कप पनीर,2  स्प्रिंग अनियन,1 कप पत्तागोभी, कद्दूकस,बिटर स्वीट ग्रेपफ्रूट ड्रेसिंग के लिए:,1/2 कप ग्रेपफ्रूट जूस,1 टी स्पून ओरिगानो,1 1/2 टी स्पून नमक,1/2 टी स्पून चिली पाउडर,2 टी स्पून आर्टिफिशल स्वीटनर"
लच्छा परांठा रेसिपी (Lachcha paratha   Recipe)  ,"2 कप मैदा,(आटा गूंथने के लिए)  पानी ,1/2 कप घी,डस्टिंग के लिए  सूखा आटा"
Mutton Beliram Recipe ,"500 Gram Mutton,4 tbsp Desi Ghee,2 tbsp Coriander Seeds,2 1/2 cup Curd,2 nos Onion, sliced,2 tsp Ginger, chopped,2 tsp Garlic, chopped,2 tsp Red Chilli Powder,3-4 nos Cloves,4-5 nos Green Cardamom,4 nos Black Peppercorn,1 sticks Cinnamon, to taste Salt,To garnish  Fresh Coriander"
Buckwheat Tabbouleh Recipe ,"  1 cup uncooked buckwheat,  1 large bunch parsley, finely chopped,  1 large bunch mint, finely chopped,  1 large red onion, finely chopped,  2 cucumbers, diced,  2-3 organic tomatoes, diced,  2 lemons, juiced,  1 apple, peeled and chopped into chunks,  1 Tbsp ground cumin or zatar,  4 Tbsp olive oil,  Salt and pepper to taste"
कश्मीरी गरम मसाला रेसिपी (Kashmiri garam masala   Recipe)  ,"1/3 कप कालीमिर्च,1/3 कप अदरक,1/3 कप जीरा,5 ग्राम दालचीनी,1/3 कप इलाइची,5 ग्राम लौंग"
Restaurant Style Fried Chicken Recipe ,"1  Egg,1/4 tsp salt,1/4 tsp white pepper,1 cup maida,1/2 tsp salt,1 tsp red chilli powder,1 tsp garlic powder,1 tsp ginger powder,1 tsp onion powder,1 tsp oregano,1 tsp chillil flakes,1/2 tsp white pepper,1 tsp basil,6 nos chicken drumsticks,1/2 tsp salt,1/2 tsp white pepper,  bread crumbs (as required)"
Karri Murgh Tikka Recipe ,"180 Gram Chicken leg (boneless),100 Gram Raw mango,10 Gram Ginger,10 Gram Garlic,8 Gram Green chilli,5 Gram Salt,5 Gram Turmeric powder,2 Gram Garam masala,5 Gram Jeera powder,10 Gram Lemon,20 Gram Besan,1 Nos Egg,15 Gram Mint,20 Gram Coriander,100 Gram Curd"
थाई चिली सिंगार रोल रेसिपी (Thai chilli cigar roll   Recipe)  ,"60 gms पत्तागोभी,60 ग्राम गाजर,60 ग्राम बॉकचॉय,50 ग्राम हरी प्याज,30 ग्राम बीन थ्रेड नूडल्स,20 ग्राम थाई चिली पेस्ट,10 ग्राम थाई रेड करी पेस्ट,30 ग्राम बेल पैपर्स,5 ग्राम बैजल,60 ग्राम स्प्रिंग रोल शीट,30 ml (मिली.) सोया बीन तेल"
